result	id	features	stage	detail
FAIL	builtins/real-imag	real,imag,complex,floats	frontend-export	{"message":"frontend-quarantined: basic type complex64","schema":"golean-observation-v1","status":"unsupported"}
PASS	builtins/recover-outside-defer	recover,nil	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/copy-stmt	builtins,copy,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/copy-stmt-overlap	builtins,copy,slices,overlap,aliasing	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/copy-stmt-eval-order	builtins,copy,slices,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/copy-stmt-string-source	builtins,copy,strings,bytes	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/recover-stmt-in-defer	builtins,recover,defer,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/recover-stmt-no-panic	builtins,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	builtins/statement-position/recover-stmt-outside-defer	builtins,recover	-	wide=0 exhausted=none depth=fixed
PASS	bytes/buffer-model/write-paths	stdlib,bytes,strings,methods	-	wide=0 exhausted=none depth=fixed
PASS	bytes/buffer-model/len-reset	stdlib,bytes,len,methods	-	wide=0 exhausted=none depth=fixed
PASS	bytes/buffer-model/zero-value	stdlib,bytes,zero_values	-	wide=0 exhausted=none depth=fixed
PASS	bytes/buffer-model/nil-receiver-string	stdlib,bytes,nil,pointers,methods	-	wide=0 exhausted=none depth=fixed
PASS	bytes/buffer-model/pointer-use	stdlib,bytes,pointers,methods	-	wide=0 exhausted=none depth=fixed
PASS	bytes/equal-conformance/basic	stdlib,bytes,slices,equality	-	wide=0 exhausted=none depth=fixed
PASS	bytes/equal-conformance/nil-empty	stdlib,bytes,slices,equality,nil	-	wide=0 exhausted=none depth=fixed
PASS	bytes/equal-conformance/step-shape	stdlib,bytes,slices,equality,append	-	wide=1 exhausted=none depth=fixed
PASS	channels/buffered-basic	channels,make,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-closed-panic	channels,close,panic	-	wide=0 exhausted=none depth=fixed
PASS	channels/closed-receive	channels,close,comma_ok,zero_values	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-edge/drain-zero-after-close	channels,close,comma_ok,zero_values,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-edge/recover-negative-make	channels,make,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-edge/recover-send-closed	channels,close,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-edge/recover-close-closed	channels,close,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	channels/close-edge/recover-close-nil	channels,close,nil,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
