result	id	features	stage	detail
PASS	structs/embedded-pointer-unnamed	structs,embedding,pointers,compile_error	-	-
PASS	structs/mixed-literal	structs,fields,literals,compile_error	-	-
PASS	structs/recursive-value	structs,fields,compile_error	-	-
PASS	structs/selector-call-result-address	structs,fields,calls,addressability,compile_error	-	-
PASS	structs/selector-call-result-assign	structs,fields,calls,addressability,compile_error	-	-
PASS	structs/selector-composite-literal-address	structs,fields,literals,addressability,compile_error	-	-
PASS	structs/selector-conversion-result-address	structs,fields,conversions,addressability,compile_error	-	-
PASS	structs/selector-conversion-result-assign	structs,fields,conversions,addressability,compile_error	-	-
PASS	structs/selector-unaddressable-literal	structs,fields,addressability,compile_error	-	-
PASS	structs/tag-function-argument	structs,tags,calls,compile_error	-	-
PASS	structs/tag-map-key-mismatch	structs,tags,maps,keys,compile_error	-	-
PASS	structs/tag-return-mismatch	structs,tags,returns,compile_error	-	-
PASS	structs/tag-unnamed-assign	structs,tags,assignment,compile_error	-	-
PASS	structs/too-many-values	structs,literals,compile_error	-	-
PASS	structs/unknown-field-literal	structs,fields,literals,compile_error	-	-
PASS	unused/unused-local	unused,compile_error	-	-
PASS	variadic/append-multi-result	variadic,append,multi_result,compile_error	-	-
PASS	variadic/call-slice-without-spread	variadic,slices,compile_error	-	-
PASS	variadic/interface-variadic-mismatch	variadic,interfaces,methods,compile_error	-	-
PASS	variadic/method-non-final-variadic	variadic,methods,compile_error	-	-
