# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input. (lowerdiag wire: per-declaration classification of the wire's quarantine stubs)
pkg	kind	name	status	cause	class	key
raft	func	raft.goleanShimFmtDynVerb$lit0	lowered	-	-	-
raft	func	raft.goleanShimFmtDynVerb	lowered	-	-	-
raft	func	raft.goleanShimFmtDynInt	lowered	-	-	-
raft	func	raft.goleanShimFmtDynUint	lowered	-	-	-
raft	func	raft.goleanShimFmtSprintfDyn	lowered	-	-	-
raft	func	raft.goleanShimFmtSprintDyn	lowered	-	-	-
raft	func	raft.goleanShimFmtSprintlnDyn	lowered	-	-	-
raft	func	raft.goleanShimFmtUint	lowered	-	-	-
raft	func	raft.goleanShimFmtInt	lowered	-	-	-
raft	func	raft.goleanShimFmtHex	lowered	-	-	-
raft	func	raft.goleanShimFmtBool	lowered	-	-	-
raft	func	raft.goleanShimFmtQuoteBytes	lowered	-	-	-
raft	func	raft.goleanShimFmtQuoteString	lowered	-	-	-
raft	func	raft.goleanShimFmtStringVerb	lowered	-	-	-
raft	func	raft.goleanShimFmtHexString	lowered	-	-	-
raft	func	raft.goleanShimFmtRender	lowered	-	-	-
raft	func	raft.goleanShimFmtRenderCall$lit0	lowered	-	-	-
raft	func	raft.goleanShimFmtRenderCall	lowered	-	-	-
raft	func	raft.goleanShimFmtError	lowered	-	-	-
raft	func	raft.goleanShimFmtErrorCall$lit0	lowered	-	-	-
raft	func	raft.goleanShimFmtErrorCall	lowered	-	-	-
raft	func	raft.goleanShimFmtPanicValue	lowered	-	-	-
raft	func	raft.goleanShimFmtPadLeft	lowered	-	-	-
raft	func	raft.goleanShimFmtIntPad	lowered	-	-	-
raft	func	raft.goleanShimFmtUintPad	lowered	-	-	-
raft	func	raft.goleanShimUnsupported	quarantined	golean stdlib shim RUNTIME refusal (fail closed): a modeled member hit a recorded bound at run time — the bound's text is at the shim call site. Unrecoverable BY DESIGN (audit R4-C-3): as a Go panic this was catchable, and user recover() turned refusals into silent wrong answers	FR-14/fmt-verb-matrix	fmt-verb-matrix
main	func	runTwinChoice	lowered	-	-	-
main	func	probeTwinChoice	lowered	-	-	-
main	func	twinChoiceVerdict	lowered	-	-	-
main	func	u64	lowered	-	-	-
main	func	utoa	lowered	-	-	-
main	func	itoa	lowered	-	-	-
main	func	installLogger	lowered	-	-	-
main	func	newTwin	lowered	-	-	-
main	func	stateChar	lowered	-	-	-
main	func	runSched	lowered	-	-	-
main	func	probeTwinSingle	lowered	-	-	-
main	func	probeTwinElect	lowered	-	-	-
main	func	probeTwinPerturb	lowered	-	-	-
